DQN,OPT,SYM
60.3827102360474,46.00913923376581,62.55091073757035
50.76274844345214,48.86913923376589,46.33418042519821
47.90941299150029,51.779116309323015,67.42373816708346
48.70086192963359,44.485474860287496,64.76949107973513
56.431590219440665,57.9544651712647,63.32268859723035
61.80303915757406,46.419797076819066,48.95644042380286
51.29916979968931,45.50221749657044,99.7873104050384
55.62863885280754,52.99910866784212,40.492496374488155
56.688732224004355,48.24882559520108,54.745756259502954
55.39444057339625,49.78238895600202,54.22630544839768
70.2443718000678,52.30635932656415,66.86163902737752
53.52728328587091,58.97245940275582,60.414362485161746
47.76719755615517,48.289445230849736,57.06937946652556
56.30694672286333,57.541010464622474,74.21479833746815
47.41423558899005,42.074025922154135,66.13102235078006
55.6652545929191,59.950415426842085,40.103280675959525
49.38127658087589,44.67653207162121,79.23286301571329
54.57526223440003,43.52494095435449,66.39850855983212
48.33003262714885,56.60553002407954,62.98813507504576
55.04726800290912,36.31583434773772,68.38608389540383
46.36802685863984,50.12522402699565,68.19155669446604
44.04502796969575,42.33614034482167,62.11498976229126
42.02177060597866,33.44880099733291,57.922222179000116
42.356248998979936,65.50250692506683,56.74258462550142
58.55726800290901,34.308785714370984,50.70876747235786
50.71548250176818,53.544472812745624,73.41879927395405
56.72965489768552,46.20125365643341,52.65750823566873
53.35076091695612,43.82979707681908,46.0128095752998
54.511253656433084,38.036147986302694,63.05691023883776
49.3503539071946,53.185224026995684,38.05322126749081
50.008340497204614,50.56945287233057,70.79269963551587
54.93654735458287,55.51869401659981,52.3974819144222
55.015355605596625,49.79481701723421,54.37185633569493
64.56062933835477,50.15955388500822,53.83806506604492
58.662404238963546,48.129968536250544,73.39313209101789
46.58877043140886,44.7770477355412,68.99048080336672
48.974668482245335,42.34581142329506,55.326712458159136
59.25126129791407,48.884503378669535,76.11606817468919
39.234885790562345,62.08925720283082,39.92774846842872
46.83096294231109,51.39678161928737,54.758920252023344
58.96671117253342,43.133046799055165,49.16471433113105
47.19729856883282,39.75371228358931,80.81691276013566
52.31011835686455,60.493415601411925,50.987430147434225
59.78766737118946,42.03044727839156,50.61668657466487
66.97415917418049,61.67274247539689,57.77203543660687
51.0899133724584,59.09235839007829,42.247071945609605
59.79534796411576,59.89235074859724,61.89247597134323
47.958755148446926,55.27058817189919,49.4561861937072
